x,y,z,value
0,0,0,0.000325520743119
0,0,1,0.000609631853598
0,0,2,-0.040931922783
0,0,3,0.00260416660636
0,0,4,0.00520833274901
0,0,5,-0.0490948139751
0,0,6,0.0032987728858
0,0,7,0.00131411509877
0,0,8,0.00122135691855
0,0,9,0.00195724966485
0,0,10,-0.0414618058838
0,0,11,-0.392425475094
0,1,0,0.00065104067935
0,1,1,0.00121549374285
0,1,2,0.00243092166952
0,1,3,0.00520832727092
0,1,4,0.01041666551
0,1,5,0.00933025162024
0,1,6,0.00280932918088
0,1,7,0.00412870209122
0,1,8,0.00260416593949
0,1,9,-0.00196317806762
0,1,10,-0.0413370221335
0,1,11,-0.391913988842
0,2,0,0.00122350306954
0,2,1,0.00260416637905
0,2,2,0.0052083327581
0,2,3,0.0104166655162
0,2,4,0.0208333310324
0,2,5,0.0178242706549
0,2,6,0.0150968562288
0,2,7,0.00424863092406
0,2,8,0.00520833273822
0,2,9,0.00931674607655
0,2,10,0.00398710478469
0,2,11,-0.391680804055
0,3,0,0.00260416637778
0,3,1,0.00520833275809
0,3,2,0.0104166655162
0,3,3,0.0208333310324
0,3,4,0.0416666620648
0,3,5,0.0436439427801
0,3,6,0.666666592603
0,3,7,-0.390110145316
0,3,8,0.108855547988
0,3,9,0.00952835416186
0,3,10,0.00345534279015
0,3,11,-0.391254990149
0,4,0,0.00520832828437
0,4,1,0.0104166616184
0,4,2,0.0208333276317
0,4,3,0.0416666618309
0,4,4,0.0833333241031
0,4,5,0.0460911295212
0,4,6,1.33333318042
0,4,7,0.0475503690671
0,4,8,-0.417927874464
0,4,9,0.020164113176
0,4,10,-0.0491795231655
0,4,11,-0.394824485162
0,5,0,0.0104166652891
0,5,1,0.0208333310292
0,5,2,0.0416666620645
0,5,3,0.0833333241297
0,5,4,0.166666648259
0,5,5,0.333333296519
0,5,6,0.666666593037
0,5,7,0.100089278105
0,5,8,0.0419091607735
0,5,9,0.0178165331299
0,5,10,0.0184607118416
0,5,11,-0.39249395761
0,6,0,0.00520833275777
0,6,1,0.0104166655162
0,6,2,0.0208333310324
0,6,3,0.0416666620648
0,6,4,0.0453424895864
0,6,5,0.166666648245
0,6,6,0.333333296519
0,6,7,0.102261693583
0,6,8,0.10201545729
0,6,9,0.0301663716891
0,6,10,-0.043401012129
0,6,11,-0.394548214712
0,7,0,0.00260416637904
0,7,1,0.0052083327581
0,7,2,0.00398061755999
0,7,3,-0.0486643041966
0,7,4,0.0394605996151
0,7,5,0.0833333239932
0,7,6,0.166666648259
0,7,7,0.0462375151933
0,7,8,0.0464038025582
0,7,9,0.0192824402973
0,7,10,0.0143813700561
0,7,11,-0.393417164132
0,8,0,0.00121590696305
0,8,1,0.00260416637905
0,8,2,0.0052083327581
0,8,3,-0.0404738453311
0,8,4,-0.393003450948
0,8,5,0.102626825378
0,8,6,0.0780735598199
0,8,7,0.102715357468
0,8,8,0.0467747910304
0,8,9,0.0153622260078
0,8,10,-0.0482232703242
0,8,11,-0.393249615447
0,9,0,0.000651041585148
0,9,1,0.000962675287512
0,9,2,0.00212315995383
0,9,3,0.00407049346653
0,9,4,-0.0430429721056
0,9,5,-0.0412721734029
0,9,6,-0.393915970172
0,9,7,0.0471267287856
0,9,8,0.0205168721044
0,9,9,0.00960142062317
0,9,10,0.00569619811883
0,9,11,-0.390435706072
0,10,0,0.000325520797382
0,10,1,0.000607730647413
0,10,2,0.00121546080707
0,10,3,0.00260416637505
0,10,4,0.0052083327581
0,10,5,0.0104166655162
0,10,6,0.0208333310324
0,10,7,0.0259529930878
0,10,8,0.00632397030897
0,10,9,0.00653232931972
0,10,10,0.00246180765983
0,10,11,-0.393595670719
0,11,0,-0.0404925277692
0,11,1,-0.0428451548843
0,11,2,-0.041462297708
0,11,3,0.0013020827207
0,11,4,-0.0409824915996
0,11,5,-0.0408403555998
0,11,6,-0.0409742400791
0,11,7,-0.0408947413351
0,11,8,-0.0397583043692
0,11,9,-0.0536625124815
0,11,10,-0.048552187552
0,11,11,-0.392223310251
1,0,0,-0.393482637465
1,0,1,0.000404562514058
1,0,2,0.000542513524807
1,0,3,0.000888228749526
1,0,4,0.00423174656712
1,0,5,0.00569602309109
1,0,6,-0.0417104830932
1,0,7,0.00225169676146
1,0,8,0.00130208311913
1,0,9,0.00188587815182
1,0,10,0.0012155594502
1,0,11,0.000651041303772
1,1,0,-0.390623916266
1,1,1,0.000824894958482
1,1,2,0.00100861119355
1,1,3,0.00260922919974
1,1,4,0.00961711252487
1,1,5,0.00933790258112
1,1,6,0.0104166655162
1,1,7,0.0052083327579
1,1,8,0.00243106259198
1,1,9,0.00338198942096
1,1,10,0.00243092340703
1,1,11,0.00122008260325
1,2,0,-0.390454859869
1,2,1,0.00221117301705
1,2,2,0.00203430934986
1,2,3,0.00538677315757
1,2,4,0.0152062144415
1,2,5,0.0202737658321
1,2,6,0.0208333310324
1,2,7,0.0104166655127
1,2,8,0.0048968169581
1,2,9,0.00601074919704
1,2,10,0.0052083327581
1,2,11,0.00243590834359
1,3,0,-0.393833223206
1,3,1,-0.052951153081
1,3,2,0.00634934807285
1,3,3,0.0162812831598
1,3,4,0.0125671605034
1,3,5,0.0313581643442
1,3,6,0.0457227202033
1,3,7,0.101055804161
1,3,8,0.103631493415
1,3,9,-0.394504969109
1,3,10,0.00905481528564
1,3,11,0.00486196769304
1,4,0,-0.394242516312
1,4,1,0.00799899445745
1,4,2,0.0156872211746
1,4,3,0.0166220169839
1,4,4,0.0453324633228
1,4,5,0.0450164966529
1,4,6,0.046315094111
1,4,7,0.106122613561
1,4,8,1.33333318182
1,4,9,-0.391225285861
1,4,10,0.0208333310324
1,4,11,0.0104166655162
1,5,0,-0.39055002748
1,5,1,0.00670180951496
1,5,2,0.0106861228167
1,5,3,0.00845502831302
1,5,4,0.0204108301623
1,5,5,0.0449442965911
1,5,6,0.0468931281065
1,5,7,0.0477044763151
1,5,8,0.0472842428379
1,5,9,0.0279889636643
1,5,10,0.0416666620631
1,5,11,0.0208332877417
1,6,0,-0.394720290903
1,6,1,0.00415737181913
1,6,2,0.0066485126869
1,6,3,0.0191667499953
1,6,4,0.0473512433115
1,6,5,0.0473982238797
1,6,6,0.0550616932622
1,6,7,0.104431138369
1,6,8,0.333333296519
1,6,9,0.166666648259
1,6,10,0.0833333240934
1,6,11,0.0416666590086
1,7,0,-0.390222711186
1,7,1,-0.0403416987104
1,7,2,0.00618607067612
1,7,3,0.00768444086835
1,7,4,0.0138490248329
1,7,5,0.0360919960165
1,7,6,0.042731671003
1,7,7,0.0295270202824
1,7,8,0.0468883415369
1,7,9,0.0833333241297
1,7,10,0.0416666620648
1,7,11,0.0208333305957
1,8,0,-0.393090508479
1,8,1,0.00106420966248
1,8,2,0.00215903535047
1,8,3,0.00665529076419
1,8,4,0.0052083327581
1,8,5,0.104319029021
1,8,6,-0.389703367874
1,8,7,-0.0411429396849
1,8,8,0.0230033509468
1,8,9,0.0212536359224
1,8,10,0.0208333310324
1,8,11,0.0104166655159
1,9,0,-0.389777847696
1,9,1,0.000600135047319
1,9,2,0.000815067222586
1,9,3,0.00308845246467
1,9,4,0.00236388846349
1,9,5,0.00209135382152
1,9,6,0.00342709515815
1,9,7,-0.391007871693
1,9,8,-0.0416961494767
1,9,9,0.0153747504632
1,9,10,0.00772040622522
1,9,11,0.00461752955915
1,10,0,-0.393021774954
1,10,1,-0.049396392159
1,10,2,0.00114094902478
1,10,3,0.00106072204518
1,10,4,0.00345445390327
1,10,5,0.00491861356268
1,10,6,0.0103980384265
1,10,7,0.0152266568536
1,10,8,0.020833328581
1,10,9,0.00852998732694
1,10,10,0.00447350087448
1,10,11,0.00260416637849
1,11,0,-0.39181299195
1,11,1,-0.0491200279426
1,11,2,0.000533771132764
1,11,3,0.000418498458996
1,11,4,0.00203326709837
1,11,5,-0.0423999312544
1,11,6,0.00359337194593
1,11,7,0.00744748765117
1,11,8,0.0104166654678
1,11,9,0.0044688058415
1,11,10,0.00260416400812
1,11,11,0.00126734968926
2,0,0,0.000309677605871
2,0,1,0.000651041578125
2,0,2,0.00130208271455
2,0,3,0.00259014685007
2,0,4,0.00486397597431
2,0,5,0.0104166655162
2,0,6,0.00520833198367
2,0,7,0.0026041663693
2,0,8,0.00124283730811
2,0,9,0.002604165571
2,0,10,0.00130208318562
2,0,11,0.000649238181838
2,1,0,-0.0400379708761
2,1,1,0.0013020831895
2,1,2,0.00260416637876
2,1,3,0.00486184323197
2,1,4,0.00972368645689
2,1,5,0.0208333310324
2,1,6,-0.041042368094
2,1,7,-0.0403500340174
2,1,8,-0.040964818417
2,1,9,0.00520833273943
2,1,10,0.00260416637899
2,1,11,0.00130208276066
2,2,0,0.00130208318299
2,2,1,0.00243093314141
2,2,2,0.00486184322987
2,2,3,0.00953827627323
2,2,4,0.0159117193034
2,2,5,0.0416666620648
2,2,6,-0.391192478214
2,2,7,-0.39015294336
2,2,8,-0.391781246011
2,2,9,0.0104166655162
2,2,10,0.00465690412873
2,2,11,0.00260416629508
2,3,0,-0.0429051967561
2,3,1,0.00384003439537
2,3,2,0.0088805170233
2,3,3,0.0167106814762
2,3,4,0.026380073195
2,3,5,0.0833333241297
2,3,6,0.0282607148763
2,3,7,1.33333318607
2,3,8,0.104214862228
2,3,9,0.0208333310324
2,3,10,0.0104166655157
2,3,11,0.00520833275774
2,4,0,0.00487166795544
2,4,1,0.00806071489677
2,4,2,0.00911385283843
2,4,3,0.0264292168472
2,4,4,0.0355993320617
2,4,5,0.166666648259
2,4,6,0.0465837716384
2,4,7,0.666666372149
2,4,8,0.0477597829864
2,4,9,0.0416666620648
2,4,10,0.0150202919037
2,4,11,0.00933449282175
2,5,0,0.0033379234847
2,5,1,0.00607393070656
2,5,2,0.00931362572264
2,5,3,0.019730851561
2,5,4,0.0453243056669
2,5,5,0.046596657008
2,5,6,0.047516052585
2,5,7,0.0822923878689
2,5,8,0.166666648206
2,5,9,0.0833333241297
2,5,10,0.0186603464641
2,5,11,0.0116171468145
2,6,0,0.00347839170814
2,6,1,0.00732149972351
2,6,2,0.0107794831958
2,6,3,0.0203123012066
2,6,4,0.0457979133389
2,6,5,-0.0420866517843
2,6,6,0.046143348345
2,6,7,0.0428386139291
2,6,8,0.0468183301947
2,6,9,0.0226516339078
2,6,10,0.00976184798954
2,6,11,-0.0422779905021
2,7,0,0.00210689642228
2,7,1,0.00205350117182
2,7,2,0.0052475246868
2,7,3,0.012141795001
2,7,4,-0.39318278867
2,7,5,-0.392616616948
2,7,6,-0.0397298870002
2,7,7,0.101455864858
2,7,8,0.0424281333743
2,7,9,0.0187663070085
2,7,10,0.00431888502293
2,7,11,0.00585735920377
2,8,0,-0.0396870217763
2,8,1,0.00153530726137
2,8,2,0.00443794787771
2,8,3,0.00604711129694
2,8,4,0.00226558386784
2,8,5,0.103851640434
2,8,6,-0.393304009687
2,8,7,0.0477549629369
2,8,8,0.0275208684105
2,8,9,0.0199426376342
2,8,10,0.00812355507187
2,8,11,0.00559829674749
2,9,0,0.000264607093126
2,9,1,0.000918560115923
2,9,2,0.00232355360473
2,9,3,0.0020739928686
2,9,4,0.00260416637892
2,9,5,0.00520833258635
2,9,6,0.0104166623273
2,9,7,0.047894131219
2,9,8,0.0213549458389
2,9,9,0.0099566633694
2,9,10,0.00797290075466
2,9,11,-0.0423352756756
2,10,0,-0.0409253253613
2,10,1,0.000319604466047
2,10,2,0.000830130270741
2,10,3,0.00171115968211
2,10,4,0.00455071515824
2,10,5,0.00447657903269
2,10,6,0.0127173396432
2,10,7,0.0279897901069
2,10,8,0.00687495634582
2,10,9,0.00462985728647
2,10,10,0.0046812946364
2,10,11,-0.0419358043349
2,11,0,-0.392141289887
2,11,1,-0.390996106156
2,11,2,-0.393286368867
2,11,3,-0.391433453967
2,11,4,-0.393156743675
2,11,5,-0.391288827654
2,11,6,-0.391417653541
2,11,7,-0.393115262164
2,11,8,-0.390650089372
2,11,9,-0.389507115308
2,11,10,-0.394944292569
2,11,11,-0.39327687277
3,0,0,-0.389756457866
3,0,1,-0.39478627766
3,0,2,-0.394711637067
3,0,3,-0.391434938222
3,0,4,-0.390298685569
3,0,5,-0.392772665964
3,0,6,-0.3946581149
3,0,7,-0.394149129989
3,0,8,-0.389663913171
3,0,9,-0.391542959811
3,0,10,-0.394705241336
3,0,11,-0.390745680388
3,1,0,-0.0396435916665
3,1,1,-0.0499804072331
3,1,2,0.00138647871611
3,1,3,0.00383527467922
3,1,4,-0.0406265643936
3,1,5,0.00647301716496
3,1,6,0.0046421995648
3,1,7,-0.0488300112395
3,1,8,-0.0404214015325
3,1,9,-0.0470942592342
3,1,10,-0.0508391566257
3,1,11,-0.0406219200821
3,2,0,0.000433268211017
3,2,1,0.00129312371769
3,2,2,0.00407431974306
3,2,3,0.00851385994608
3,2,4,0.0117074498476
3,2,5,0.0202727121579
3,2,6,0.00821021852745
3,2,7,0.00432965870778
3,2,8,0.00202563745293
3,2,9,0.00537978687243
3,2,10,0.00419019829624
3,2,11,0.00204371176956
3,3,0,0.00115882648079
3,3,1,0.00318240863401
3,3,2,0.00837809402367
3,3,3,0.0116265965203
3,3,4,0.0142155270147
3,3,5,0.0456269382533
3,3,6,-0.389834528548
3,3,7,0.101552410569
3,3,8,0.109727441675
3,3,9,0.00692222698907
3,3,10,0.00377402201908
3,3,11,0.00260921519982
3,4,0,0.00180658237172
3,4,1,0.00325375583202
3,4,2,0.00884771938163
3,4,3,0.013134707334
3,4,4,0.0450183436618
3,4,5,0.0457580525895
3,4,6,-0.040591611072
3,4,7,0.103060325223
3,4,8,-0.39154075683
3,4,9,-0.0432768305299
3,4,10,0.0184351225075
3,4,11,0.00437665713546
3,5,0,0.00549080641006
3,5,1,0.00697734229837
3,5,2,0.0106069482342
3,5,3,0.0198009492691
3,5,4,0.023663726333
3,5,5,0.0456956459599
3,5,6,0.0467995640025
3,5,7,1.33333318607
3,5,8,-0.0458685016465
3,5,9,-0.0419154732092
3,5,10,0.00661993401138
3,5,11,0.00942553316923
3,6,0,-0.0405873380306
3,6,1,0.00784038353994
3,6,2,0.00908235617758
3,6,3,0.0194750785881
3,6,4,0.0833333241297
3,6,5,0.0452063052811
3,6,6,0.0473687034173
3,6,7,0.666666593037
3,6,8,0.04620014421
3,6,9,0.0202295001709
3,6,10,0.0134260275083
3,6,11,-0.042168270991
3,7,0,-0.0437279170814
3,7,1,0.00485429059273
3,7,2,0.0104166655162
3,7,3,0.0208333310324
3,7,4,0.0416666620587
3,7,5,0.028021747761
3,7,6,0.100547207322
3,7,7,0.333333296519
3,7,8,0.166666648259
3,7,9,0.0207451083215
3,7,10,0.00993051276853
3,7,11,0.00834224690452
3,8,0,0.00130208318716
3,8,1,0.00243092161415
3,8,2,0.00430543290703
3,8,3,0.0104166655162
3,8,4,-0.393191567466
3,8,5,0.108273028064
3,8,6,0.0833333240247
3,8,7,0.166666648259
3,8,8,0.0833333241251
3,8,9,0.0416666620648
3,8,10,0.00964996573
3,8,11,0.00819034788819
3,9,0,-0.04807694523
3,9,1,0.00130208318953
3,9,2,0.00260416637905
3,9,3,0.00520833275808
3,9,4,-0.0484458433833
3,9,5,-0.394533086761
3,9,6,-0.3908056971
3,9,7,0.0833333241297
3,9,8,0.0416666612964
3,9,9,0.0208333310259
3,9,10,0.0104166655162
3,9,11,0.00520833218966
3,10,0,0.000303866656482
3,10,1,0.000651041594763
3,10,2,0.00130208318948
3,10,3,0.00242388483478
3,10,4,0.00448548154111
3,10,5,0.00656695402155
3,10,6,-0.0410627155035
3,10,7,0.0416666620648
3,10,8,0.0176934142705
3,10,9,0.0104166652808
3,10,10,0.00520833275805
3,10,11,-0.0407002801041
3,11,0,0.000162760398656
3,11,1,0.000325520794636
3,11,2,0.000651041589427
3,11,3,0.001267685312
3,11,4,0.00260416635866
3,11,5,0.00520833199539
3,11,6,0.0104166655083
3,11,7,0.0208333310324
3,11,8,0.00712973785248
3,11,9,0.00520833180277
3,11,10,0.00243175335425
3,11,11,0.00130208316749
